"BrandName","BrandOriginCountry","BrandOriginRegion","BrandSector","BrandSubSector","Rank2001","Rank2002","Rank2003","Rank2004","Rank2005","Rank2006","Rank2007","Rank2008","Rank2009","Rank2010","Rank2011","Rank2012","Rank2013","Rank2014","Rank2015","Rank2016","Rank2017","Rank2018","Rank2019","Rank2020","Rank2021","Equity2001","Equity2002","Equity2003","Equity2004","Equity2005","Equity2006","Equity2007","Equity2008","Equity2009","Equity2010","Equity2011","Equity2012","Equity2013","Equity2014","Equity2015","Equity2016","Equity2017","Equity2018","Equity2019","Equity2020","Equity2021","GrowthRate2001","GrowthRate2002","GrowthRate2003","GrowthRate2004","GrowthRate2005","GrowthRate2006","GrowthRate2007","GrowthRate2008","GrowthRate2009","GrowthRate2010","GrowthRate2011","GrowthRate2012","GrowthRate2013","GrowthRate2014","GrowthRate2015","GrowthRate2016","GrowthRate2017","GrowthRate2018","GrowthRate2019","GrowthRate2020","GrowthRate2021"
"Armani","Italy","Europe","Fashion","Luxury","91","100","","93","95","97","","94","89","95","93","","","","","","","","","","","1490","1509","","2613","2677","2783","","3526","3303","3443","3794","","","","","","","","","","","","1.28","","","2.45","3.96","","","-6.32","4.24","10.19","","","","","","","","","",""
"Zara","Spain","Europe","Fashion","Apparel","","","","","77","73","64","62","50","48","44","37","36","36","30","27","24","25","29","35","45","","","","","3730","4235","5165","5955","6789","7468","8065","9488","10821","12126","14031","16766","18573","17712","17175","14862","13503","","","","","","13.54","21.96","15.30","14.01","10.00","7.99","17.64","14.05","12.06","15.71","19.49","10.78","-4.64","-3.03","-13.47","-9.14"
"H&M","Sweden","Europe","Fashion","Apparel","","","","","","","","22","21","21","21","23","21","21","21","20","23","30","30","37","43","","","","","","","","13840","15375","16136","16459","16571","18168","21083","22222","22681","20488","16826","16345","14008","14133","","","","","","","","","11.09","4.95","2.00","0.68","9.64","16.04","5.40","2.07","-9.67","-17.87","-2.86","-14.30","0.89"
"Cartier","Switzerland","Europe","Fashion","Luxury","","","","91","89","86","83","79","77","77","70","68","60","58","57","62","65","67","68","73","73","","","","2749","3050","3360","3852","4236","3968","4052","4781","5495","6897","7449","7924","7738","7547","7646","8192","7494","8161","","","","","10.95","10.16","14.64","9.97","-6.33","2.12","17.99","14.93","25.51","8.00","6.38","-2.35","-2.47","1.31","7.14","-8.52","8.90"
"Swatch","Switzerland","Europe","Fashion","Luxury","99","","","","","","","","","","","","","","","","","","","","","1004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rolex","Switzerland","Europe","Fashion","Luxury","69","69","68","70","72","72","71","71","68","","","","","","","","","","","","","3701","3686","3673","3720","3906","4237","4589","4956","4609","","","","","","","","","","","","","","-0.41","-0.35","1.28","5.00","8.47","8.31","8.00","-7.00","","","","","","","","","","","",""
"Burberry","U.K.","Europe","Fashion","Luxury","","","","","","98","95","","98","100","95","82","77","73","73","83","86","94","96","97","97","","","","","","2783","3221","","3095","3110","3732","4342","5189","5594","5873","5362","5135","4989","5205","4809","5195","","","","","","","15.74","","","0.48","20.00","16.35","19.51","7.80","4.99","-8.70","-4.23","-2.84","4.33","-7.61","8.03"
"Nike","U.S.A.","America","Fashion","Sportswear","34","35","33","31","30","31","29","29","26","25","25","26","24","22","17","18","18","17","16","15","11","7589","7724","8167","9260","10114","10897","12003","12672","13179","13706","14528","15126","17085","19875","23070","25034","27021","30120","32376","34388","42538","","1.78","5.74","13.38","9.22","7.74","10.15","5.57","4.00","4.00","6.00","4.12","12.95","16.33","16.08","8.51","7.94","11.47","7.49","6.21","23.70"
"Tiffany","U.S.A.","America","Fashion","Luxury","73","72","70","75","81","82","79","80","76","76","73","70","75","71","66","74","81","83","94","94","92","3483","3482","3540","3638","3618","3819","4003","4208","4000","4127","4498","5159","5440","5936","6306","5761","5394","5642","5335","4966","5484","","-0.03","1.67","2.77","-0.55","5.56","4.82","5.12","-4.94","3.17","8.99","14.70","5.45","9.12","6.23","-8.64","-6.37","4.60","-5.44","-6.92","10.43"
"Levi's","U.S.A.","America","Fashion","Apparel","67","73","77","85","96","100","","","","","","","","","","","","","","","","3747","3454","3298","2979","2655","2689","","","","","","","","","","","","","","","","","-7.82","-4.52","-9.67","-10.88","1.28","","","","","","","","","","","","","","",""
"Gap","U.S.A.","America","Fashion","Apparel","31","36","36","38","40","52","61","77","78","84","84","100","100","99","","","","","","","","8746","7406","7688","7873","8195","6416","5481","4357","3922","3961","4040","3731","3920","4122","","","","","","","","","-15.32","3.81","2.41","4.09","-21.71","-14.57","-20.51","-9.98","0.99","1.99","-7.65","5.07","5.15","","","","","","",""
"Ralph & Lauren","U.S.A.","America","Fashion","Apparel","","","","","","","","","","","","91","88","83","91","98","","","","","","","","","","","","","","","","","4038","4584","4979","4629","4092","","","","","","","","","","","","","","","","","","13.52","8.62","-7.03","-11.60","-100.00","","","",""
"Estee","U.S.A.","America","Fashion","Cosmetics","","","","92","","","","","","","","","","","","","","","","","","","","","2634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avon","U.S.A.","America","Fashion","Cosmetics","60","62","57","58","59","62","65","69","67","64","65","71","87","","","","","","","","","4369","4399","4631","4849","5213","5040","5103","5264","4917","5072","5376","5151","4610","","","","","","","","","","0.69","5.27","4.71","7.51","-3.32","1.25","3.16","-6.59","3.15","5.99","-4.19","-10.50","","","","","","","",""
"Polo","U.S.A.","America","Fashion","Luxury","85","95","95","100","","","99","","99","","","","","","","","","","","","","1910","1928","2048","2147","","","3046","","3094","","","","","","","","","","","","","","0.94","6.22","4.83","","","","","","","","","","","","","","","","",""
