,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
26,Global,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,1.67e-05,4,0.149,-8.285,1,0.0342,109.946,4,0.192
27,Global,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,1.79e-06,8,0.113,-5.804,1,0.0375,141.904,4,0.422
28,Global,Starboy,The Weeknd,Starboy,94,2016-11-25,AR,0.679,0.141,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
29,Global,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,2023-07-13,AR,0.444,0.959,222370,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142
30,Global,IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
31,Global,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,AR,0.671,0.0207,176579,0.845,0.0,11,0.329,-4.93,0,0.048,110.056,4,0.775
32,Global,Kill Bill,SZA,SOS,92,2022-12-08,AR,0.644,0.0521,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418
33,Global,LADY GAGA,Peso Pluma,GÉNESIS,95,2023-06-29,AR,0.646,0.216,212878,0.736,0.0,5,0.415,-7.118,0,0.0449,140.098,3,0.873
34,Global,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
35,Global,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
36,Global,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,AR,0.429,0.554,227196,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155
37,Global,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1
38,Global,Columbia,Quevedo,Columbia,95,2023-07-07,AR,0.668,0.369,186000,0.712,2.13e-05,5,0.108,-5.927,1,0.0381,100.02,4,0.264
39,Global,Yes or No,Jung Kook,GOLDEN,84,2023-11-03,AR,0.671,0.179,147557,0.839,0.0,1,0.0748,-2.645,1,0.0866,83.845,4,0.882
40,Global,Stick Season,Noah Kahan,Stick Season,89,2022-10-14,AR,0.662,0.782,182347,0.488,0.0,9,0.102,-6.894,1,0.0682,117.913,4,0.817
41,Global,LOU LOU,Gabito Ballesteros,LOU LOU,89,2023-10-19,AR,0.739,0.0622,188000,0.579,0.0,7,0.454,-8.361,0,0.0509,130.002,3,0.694
42,Global,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398
43,Global,Die For You,The Weeknd,Starboy,91,2016-11-24,AR,0.586,0.111,260253,0.525,0.0,1,0.134,-7.163,0,0.0615,133.629,4,0.508
44,Global,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.575,0.000418,231000,0.824,0.0214,2,0.0901,-4.823,1,0.038,94.971,4,0.292
45,Global,Now And Then,The Beatles,Now And Then,84,2023-11-02,AR,0.442,0.238,248333,0.605,6.44e-05,4,0.307,-4.639,0,0.0284,87.194,4,0.358
46,Global,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),90,2023-06-23,AR,0.522,0.0545,244685,0.641,0.0,8,0.162,-6.287,1,0.0318,87.51,4,0.202
47,Global,EL AMOR DE SU VIDA,Grupo Frontera,El Comienzo,90,2023-08-25,AR,0.616,0.06,165848,0.834,0.0,9,0.338,-3.069,1,0.0664,151.701,4,0.746
48,Global,Hate You,Jung Kook,GOLDEN,84,2023-11-03,AR,0.419,0.862,154237,0.274,0.0,2,0.092,-9.321,1,0.0314,79.595,4,0.25
49,Global,FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,93,2023-10-13,AR,0.847,0.0869,216328,0.724,1.11e-06,1,0.118,-5.41,1,0.298,94.601,4,0.396
50,DEU,Liebe Grüsse,RAF Camora,Liebe Grüsse,80,2023-10-27,AR,0.796,0.179,136988,0.865,0.0114,9,0.0852,-6.76,0,0.0801,130.012,4,0.768
51,DEU,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0,5,0.138,-8.72,1,0.0285,98.224,4,0.524
52,DEU,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.0711,2,0.119,-3.394,0,0.047,137.959,4,0.371
53,DEU,Blonde Chaya - Sped up,Amaru,Blonde Chaya (Sped up),80,2023-09-08,AR,0.717,0.297,181053,0.804,0.000104,7,0.11,-6.763,1,0.144,170.926,4,0.832
54,DEU,2 Germans (feat. Gzuz),Luciano,2 Germans (feat. Gzuz),77,2023-10-26,AR,0.776,0.0283,149444,0.714,0.0,1,0.227,-5.705,1,0.335,161.015,4,0.433
55,DEU,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
56,DEU,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,1.79e-06,8,0.113,-5.804,1,0.0375,141.904,4,0.422
57,DEU,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
58,DEU,Hässlich,AYLIVA,Schwarzes Herz,82,2023-08-25,AR,0.914,0.12,136360,0.489,0.0,9,0.0852,-7.722,1,0.0858,108.072,4,0.559
59,DEU,14 PASSENGER,reezy,NUR DAMIT DU WEISST,79,2023-10-20,AR,0.815,0.0987,146040,0.666,0.00353,3,0.102,-7.087,0,0.109,119.964,4,0.533
60,DEU,Ms. Jackson,Pashanim,Ms. Jackson,82,2023-08-24,AR,0.774,0.163,147587,0.7,3.24e-05,1,0.169,-7.334,1,0.266,81.99,4,0.624
61,DEU,9 bis 9,SIRA,9 bis 9,82,2023-05-05,AR,0.767,0.364,131524,0.539,0.0397,4,0.0772,-8.518,0,0.0629,128.055,4,0.368
62,DEU,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
63,DEU,Mädchen auf dem Pferd,Luca-Dante Spadafora,Mädchen auf dem Pferd,81,2023-05-12,AR,0.837,0.108,157059,0.944,8.46e-05,0,0.107,-6.516,1,0.352,169.975,4,0.681
64,DEU,2003,Liaze,2003,76,2023-10-20,AR,0.748,0.736,136280,0.551,0.000163,1,0.096,-7.389,1,0.0458,107.933,4,0.626
65,DEU,Komet,Udo Lindenberg,Komet,80,2023-01-19,AR,0.55,0.285,167357,0.5,0.0,7,0.116,-5.779,0,0.045,115.016,4,0.351
66,DEU,Feuer Wasser Sturm,Niclov,Feuer Wasser Sturm,79,2023-08-25,AR,0.822,0.443,136552,0.74,0.000893,5,0.0769,-9.163,1,0.0739,145.066,4,0.454
67,DEU,WE THE HOTTEST IN HERE,reezy,WE THE HOTTEST IN HERE,71,2023-10-27,AR,0.819,0.111,118000,0.521,0.0,10,0.129,-7.045,0,0.113,121.0,4,0.599
68,DEU,ANGST>LIEBE,Ellice,ANGST>LIEBE,75,2023-10-13,AR,0.735,0.459,179385,0.46,0.000704,7,0.108,-11.697,0,0.228,119.949,4,0.294
69,DEU,Weißes Haus,AYLIVA,Schwarzes Herz,76,2023-08-25,AR,0.626,0.506,168147,0.435,0.000865,10,0.386,-8.812,1,0.336,82.839,4,0.521
70,DEU,Wenn du lächelst,Milano,Wenn du lächelst,73,2023-10-23,AR,0.693,0.348,123887,0.535,0.0,5,0.222,-7.875,1,0.0579,98.092,4,0.442
71,DEU,EWIGKEIT - REMIX,erobé,EWIGKEIT (REMIX),79,2023-06-23,AR,0.715,0.0272,137647,0.845,0.000709,6,0.21,-4.183,1,0.137,170.028,4,0.647
72,DEU,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.0,0,0.127,-7.346,1,0.036,100.012,4,0.176
73,DEU,Enchanté,Sosa La M,Enchanté,78,2023-09-15,AR,0.828,0.0794,96638,0.438,0.0001,2,0.0878,-12.101,1,0.193,107.089,4,0.619
74,DEU,Take it,Jazeek,Take it,77,2023-09-22,AR,0.739,0.0262,172105,0.668,0.251,1,0.248,-7.237,0,0.0471,114.045,4,0.579
75,DEU,LiEBE AUF DER RÜCKBANK,FiNCH,DORFDiSKO ZWEi,74,2023-06-01,AR,0.692,0.267,188520,0.732,0.0,8,0.253,-6.017,1,0.145,154.881,4,0.628
76,DEU,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0,3,0.137,-3.495,0,0.0755,117.187,4,0.519
77,DEU,Meine 1,1986zig,Meine 1,74,2023-10-13,AR,0.629,0.0429,184827,0.858,0.000199,10,0.161,-6.79,0,0.0509,149.654,4,0.693
78,DEU,Scheine zählen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.49,0.747,167947,0.379,3.05e-06,0,0.162,-8.335,0,0.0318,77.928,4,0.236
79,DEU,S u m m e r t i m e,danicpeepner,S u m m e r t i m e,55,2015-06-08,AR,0.706,0.299,195500,0.505,0.00578,1,0.101,-8.242,1,0.0505,132.58,4,0.227
80,DEU,Lass mich gehen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.38,0.114,157160,0.545,0.000108,5,0.12,-6.381,0,0.0451,178.182,4,0.302
81,DEU,Cold Princess,Luciano,Cold Princess,76,2023-10-12,AR,0.87,0.00852,153600,0.626,0.00128,6,0.0934,-8.621,0,0.394,125.024,4,0.812
82,DEU,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,7.12e-05,5,0.25,-5.305,1,0.045,144.989,4,0.523
83,DEU,Ich will nur dass du weißt - IIVEN Remix,SDP,Ich will nur dass du weißt (IIVEN Remix),77,2023-07-27,AR,0.549,0.0355,156387,0.869,0.000223,6,0.105,-6.658,1,0.323,155.116,4,0.511
84,DEU,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
85,DEU,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
86,DEU,Cynical,twocolors,Cynical,82,2023-06-30,AR,0.69,0.0268,191365,0.84,3.06e-05,11,0.363,-6.947,1,0.0573,129.935,4,0.493
87,DEU,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,AR,0.767,0.209,139300,0.83,0.836,7,0.0582,-8.78,1,0.206,75.023,4,0.187
88,DEU,"Dance For Me (1, 2, 3) - Stutter Techno",Sonny Wern,"Dance For Me (1, 2, 3) [Stutter Techno]",67,2023-10-06,AD,0.706,0.0505,147895,0.975,0.247,10,0.109,-5.58,0,0.0651,154.993,4,0.319
89,DEU,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,1.67e-05,4,0.149,-8.285,1,0.0342,109.946,4,0.192
90,DEU,Komm mit,badmómzjay,Komm mit,69,2023-10-26,AR,0.893,0.0643,159673,0.657,0.00848,8,0.0658,-8.388,1,0.0891,109.978,4,0.417
91,DEU,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
92,DEU,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,7.62e-05,7,0.0603,-13.178,1,0.055,77.983,4,0.306
93,DEU,Weiche Kissen,Kontra K,Weiche Kissen,43,2023-10-19,AR,0.751,0.12,180173,0.641,0.0,1,0.141,-7.019,1,0.312,139.92,4,0.563
94,DEU,Airplanes,badmómzjay,Airplanes,76,2023-09-07,AR,0.743,0.0861,146368,0.606,0.0,1,0.0913,-8.774,0,0.161,93.123,4,0.292
95,DEU,TABU.,Yung Yury,TABU.,77,2023-03-17,AR,0.667,0.219,135302,0.702,4.3e-05,0,0.147,-8.49,0,0.169,148.978,4,0.479
96,DEU,KETAMIN,YAKARY,KETAMIN,75,2023-06-16,AR,0.601,0.0796,172246,0.769,0.0,5,0.136,-5.504,0,0.394,86.891,4,0.527
97,DEU,MAXIMUM RIZZ,Ski Aggu,denk mal drüber nach...,72,2023-10-12,AR,0.726,0.016,147960,0.856,0.0144,8,0.253,-6.196,1,0.158,75.016,4,0.951
98,DEU,In deinen Armen,AYLIVA,Schwarzes Herz,75,2023-08-25,AR,0.651,0.135,141318,0.591,0.0,9,0.233,-5.972,0,0.0389,125.036,4,0.159
99,DEU,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
100,SAU,Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,AR,0.711,0.0447,206020,0.809,0.0,2,0.339,-4.389,0,0.0955,106.017,4,0.816
101,SAU,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-11-03,AR,0.79,0.312,183551,0.831,0.0,11,0.0797,-4.185,1,0.044,124.987,4,0.872
102,SAU,This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),81,2007-01-01,AR,0.628,0.259,184413,0.882,0.0,1,0.065,-5.024,0,0.0323,95.083,4,0.853
103,SAU,Bleeding,TalkinToys,Bleeding,63,2022-07-01,AR,0.608,0.771,202007,0.443,0.00127,9,0.112,-11.987,1,0.0381,125.847,4,0.211
104,SAU,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
105,SAU,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,89,2023-10-02,AR,0.853,0.0322,201812,0.824,0.0,1,0.0859,-3.287,1,0.103,108.044,4,0.888
106,SAU,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
107,SAU,Set Fire to the Rain,Adele,21,83,2011-01-24,AR,0.603,0.00408,242974,0.67,1.68e-06,2,0.112,-3.882,0,0.0249,107.993,4,0.446
108,SAU,This Is The Life - Sped Up Version,Amy Macdonald,This Is The Life (Sped Up Version),68,2023-04-28,AR,0.634,0.22,169108,0.955,0.0,10,0.117,-4.029,1,0.0771,103.613,4,0.716
109,SAU,Yes or No,Jung Kook,GOLDEN,84,2023-11-03,AR,0.671,0.179,147557,0.839,0.0,1,0.0748,-2.645,1,0.0866,83.845,4,0.882
110,SAU,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
111,SAU,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
112,SAU,Hate You,Jung Kook,GOLDEN,84,2023-11-03,AR,0.419,0.862,154237,0.274,0.0,2,0.092,-9.321,1,0.0314,79.595,4,0.25
113,SAU,Love Me Again,V,Layover,90,2023-08-11,AR,0.633,0.183,182293,0.607,1.38e-06,0,0.167,-6.182,0,0.0532,74.029,4,0.363
114,SAU,Closer to You (feat. Major Lazer),Jung Kook,GOLDEN,83,2023-11-03,AR,0.781,0.114,170995,0.655,0.00249,2,0.103,-7.073,0,0.0457,113.031,4,0.493
115,SAU,Please Don't Change (feat. DJ Snake),Jung Kook,GOLDEN,84,2023-11-03,AR,0.797,0.164,146685,0.743,1.2e-06,11,0.164,-6.005,1,0.174,114.878,4,0.768
116,SAU,I Wanna Be Yours,Arctic Monkeys,AM,95,2013-09-09,AR,0.464,0.136,183956,0.417,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,0.479
117,SAU,Shot Glass of Tears,Jung Kook,GOLDEN,83,2023-11-03,AR,0.507,0.508,167247,0.394,0.0,6,0.0825,-7.188,0,0.035,77.955,4,0.164
118,SAU,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
119,SAU,Slow Dancing,V,Layover,96,2023-09-08,AR,0.579,0.257,187027,0.63,0.00462,8,0.0986,-7.758,1,0.058,155.96,4,0.552
120,SAU,Agora Hills,Doja Cat,Scarlet,82,2023-09-20,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381
121,SAU,Somebody,Jung Kook,GOLDEN,83,2023-11-03,AR,0.65,0.286,168600,0.679,0.0,1,0.136,-5.557,0,0.0477,106.059,4,0.256
122,SAU,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,90,2017-06-09,AR,0.37,0.0205,290617,0.467,0.572,5,0.109,-9.013,1,0.0273,94.485,4,0.182
123,SAU,ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),90,2023-06-06,AR,0.551,0.0173,119120,0.677,0.0,2,0.381,-7.311,1,0.0665,106.414,4,0.195
124,SAU,Too Sad to Dance,Jung Kook,GOLDEN,83,2023-11-03,AR,0.558,0.611,175912,0.467,0.0,10,0.105,-6.292,1,0.0809,100.518,4,0.563
125,SAU,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.0,0,0.127,-7.346,1,0.036,100.012,4,0.176
126,SAU,Summertime Sadness,Lana Del Rey,Born To Die – Paradise Edition (Special Version),78,2012-01-01,AR,0.566,0.0477,264773,0.647,0.0,1,0.121,-6.815,0,0.0335,111.96,4,0.22
127,SAU,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),90,2023-06-23,AR,0.522,0.0545,244685,0.641,0.0,8,0.162,-6.287,1,0.0318,87.51,4,0.202
128,SAU,كلام عينيه,Sherine,نساى,77,2018-10-24,AR,0.573,0.0477,235833,0.759,1.37e-06,1,0.193,-4.706,0,0.0428,131.931,4,0.745
129,SAU,Diamonds,Rihanna,Unapologetic (Edited Version),78,2012-01-01,CA,0.564,0.00125,225147,0.71,0.0,11,0.109,-4.92,0,0.0461,91.972,4,0.393
130,SAU,Perfect Night,LE SSERAFIM,Perfect Night,86,2023-10-27,AR,0.697,0.1,159080,0.82,0.0,5,0.0631,-4.502,1,0.0308,136.054,4,0.502
131,SAU,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
132,SAU,ياحلوه يا مظلومه,ابو سراج,ياحلوه يا مظلومه,50,2010-05-17,AR,0.544,0.196,235165,0.992,0.0,9,0.27,0.856,0,0.0424,149.957,4,0.968
133,SAU,Like Crazy,Jimin,FACE,94,2023-03-24,AR,0.629,0.0025,212241,0.733,0.0,7,0.357,-5.445,1,0.0419,120.001,4,0.362
134,SAU,Starboy,The Weeknd,Starboy,94,2016-11-25,AR,0.679,0.141,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
135,SAU,MONTAGEM - PR FUNK,S3BZS,MONTAGEM - PR FUNK,88,2023-05-01,AR,0.877,0.734,61673,0.803,0.056,9,0.087,-3.195,1,0.0507,130.028,4,0.795
136,SAU,"Freed From Desire - prod. Molella, Phil Jay",Gala,Come Into My Life (The Album),81,1997-11-17,AR,0.704,0.587,213394,0.861,0.0615,2,0.0992,-4.221,0,0.0493,128.99,4,0.636
137,SAU,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
138,SAU,Cry,Cigarettes After Sex,Cry,85,2019-10-25,AR,0.406,0.756,256800,0.399,0.678,7,0.112,-10.449,1,0.0278,142.83,4,0.163
139,SAU,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398
140,SAU,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
141,SAU,Automotivo Bibi Fogosa,Bibi Babydoll,Automotivo Bibi Fogosa,89,2023-05-19,AR,0.726,0.2,129778,0.873,1.71e-06,9,0.0953,-3.122,1,0.0266,135.052,4,0.725
142,SAU,Kill Bill,SZA,SOS,92,2022-12-08,AR,0.644,0.0521,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418
143,SAU,Not Allowed,TV Girl,Who Really Cares,87,2016-02-25,AR,0.67,0.669,167864,0.905,0.000227,1,0.349,-6.855,1,0.129,104.965,4,0.563
144,SAU,LOVELY BASTARDS,ZWE1HVNDXR,LOVELY BASTARDS,88,2023-08-25,AR,0.613,0.832,116104,0.81,0.899,1,0.137,-6.16,1,0.488,150.251,4,0.686
145,SAU,The Color Violet,Tory Lanez,Alone At Prom,89,2021-12-10,AR,0.645,0.157,226467,0.534,0.0,6,0.0863,-10.8,0,0.0479,105.02,4,0.463
146,SAU,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,70,2023-07-07,AR,0.733,0.212,265960,0.598,3.71e-06,2,0.156,-8.228,1,0.0278,107.732,4,0.935
147,SAU,METAMORPHOSIS,INTERWORLD,METAMORPHOSIS,88,2021-11-25,AR,0.593,0.426,142839,0.641,0.901,7,0.122,-12.727,0,0.0992,175.014,4,0.147
148,SAU,اسأل عني ميت عايش - مسرع,MaqamMusic,اسأل عني ميت عايش - مسرع,49,2023-10-14,AR,0.587,0.0543,209444,0.839,5.77e-06,8,0.269,-6.071,1,0.252,104.447,4,0.739
